d (m),Total electric energy (J)
1.0E-6,3.615781874550884E-11
2.5E-6,8.678751331912604E-11
5.0E-6,1.6281311143213574E-10
7.5E-6,2.310114028246693E-10
1.0E-5,2.931694933277375E-10
2.5E-5,5.751507501763972E-10
5.0E-5,8.659994403646635E-10
7.5E-5,1.0601184356672554E-9
1.0E-4,1.1925860458567616E-9
2.5E-4,1.721170716491741E-9
5.0E-4,2.20202246703464E-9
7.5E-4,2.4953857844546085E-9
0.001,2.694965622048691E-9
