d (m),Axial torque (N*m)
1.0E-6,3.92108115195467E-11
2.5E-6,1.2679065544037088E-10
5.0E-6,2.970136041238737E-10
7.5E-6,5.404188854443717E-10
1.0E-5,6.150267715999688E-10
2.5E-5,7.648344681537425E-10
5.0E-5,9.325041324272734E-10
7.5E-5,9.73831384453024E-10
1.0E-4,9.624870200499526E-10
2.5E-4,6.205601562751579E-10
5.0E-4,4.257051528148265E-10
7.5E-4,2.205010356992204E-10
0.001,2.0148745591296806E-10
