d (m),"Electric potential (V), Potential bewegliche Platte"
1.0E-6,3.8963166751625655
2.5E-6,9.352102728354167
5.0E-6,17.544516318118273
7.5E-6,24.89347013196804
1.0E-5,31.591540229282305
2.5E-5,61.977451527627665
5.0E-5,93.31890521170853
7.5E-5,114.23690039517437
1.0E-4,128.51142735525573
2.5E-4,185.47098238056697
5.0E-4,237.28690377526624
7.5E-4,268.8993302214066
0.001,290.40577823801186
